USER_SCORE,WORLD_SCORE,STRESS,MON,TUE,WED,THU,RAIN,TEMP
-1.0,-0.25593313884727587,30.191009498279485,1,0,0,0,0.0,-10.9
1.0,-0.25593313884727587,30.191009498279485,1,0,0,0,0.0,-10.9
-1.0,-0.25593313884727587,30.191009498279485,1,0,0,0,0.0,-10.9
2.0,-0.25593313884727587,30.191009498279485,1,0,0,0,0.0,-10.9
2.0,-0.25593313884727587,30.191009498279485,1,0,0,0,0.0,-10.9
-1.0,-0.25593313884727587,30.191009498279485,1,0,0,0,0.0,-10.9
-1.0,-0.25593313884727587,30.191009498279485,1,0,0,0,0.0,-10.9
1.0,-0.25593313884727587,30.191009498279485,1,0,0,0,0.0,-10.9
-1.0,-0.25593313884727587,30.191009498279485,1,0,0,0,0.0,-10.9
2.0,-0.40728500105477816,61.41820782802572,0,1,0,0,0.0,-2.7
1.0,-0.40728500105477816,61.41820782802572,0,1,0,0,0.0,-2.7
1.0,-0.40728500105477816,61.41820782802572,0,1,0,0,0.0,-2.7
1.0,-0.40728500105477816,61.41820782802572,0,1,0,0,0.0,-2.7
2.0,-0.40728500105477816,61.41820782802572,0,1,0,0,0.0,-2.7
-1.0,-0.40728500105477816,61.41820782802572,0,1,0,0,0.0,-2.7
-1.0,-0.40728500105477816,61.41820782802572,0,1,0,0,0.0,-2.7
-1.0,-0.40728500105477816,61.41820782802572,0,1,0,0,0.0,-2.7
1.0,-0.40728500105477816,61.41820782802572,0,1,0,0,0.0,-2.7
-1.0,-0.40728500105477816,61.41820782802572,0,1,0,0,0.0,-2.7
2.0,-0.40728500105477816,61.41820782802572,0,1,0,0,0.0,-2.7
-1.0,-0.6112216474333466,39.64426559096825,0,0,1,0,0.8,-0.9
0.0,-0.6112216474333466,39.64426559096825,0,0,1,0,0.8,-0.9
-1.0,-0.6112216474333466,39.64426559096825,0,0,1,0,0.8,-0.9
0.0,-0.6112216474333466,39.64426559096825,0,0,1,0,0.8,-0.9
1.0,-0.6112216474333466,39.64426559096825,0,0,1,0,0.8,-0.9
-1.0,-0.6112216474333466,39.64426559096825,0,0,1,0,0.8,-0.9
2.0,-0.3621867881548975,37.28340185325995,0,0,0,1,0.0,0.0
2.0,-0.3621867881548975,37.28340185325995,0,0,0,1,0.0,0.0
-1.0,-0.3621867881548975,37.28340185325995,0,0,0,1,0.0,0.0
0.0,-0.3621867881548975,37.28340185325995,0,0,0,1,0.0,0.0
0.0,-0.3621867881548975,37.28340185325995,0,0,0,1,0.0,0.0
-1.0,-0.3621867881548975,37.28340185325995,0,0,0,1,0.0,0.0
0.0,-0.3621867881548975,37.28340185325995,0,0,0,1,0.0,0.0
2.0,-0.3621867881548975,37.28340185325995,0,0,0,1,0.0,0.0
-1.0,-0.3621867881548975,37.28340185325995,0,0,0,1,0.0,0.0
1.0,-0.3621867881548975,37.28340185325995,0,0,0,1,0.0,0.0
0.0,-0.3621867881548975,37.28340185325995,0,0,0,1,0.0,0.0
1.0,-0.3621867881548975,37.28340185325995,0,0,0,1,0.0,0.0
1.0,-0.3621867881548975,37.28340185325995,0,0,0,1,0.0,0.0
0.0,-0.3621867881548975,37.28340185325995,0,0,0,1,0.0,0.0
1.0,-0.3621867881548975,37.28340185325995,0,0,0,1,0.0,0.0
0.0,-0.3621867881548975,37.28340185325995,0,0,0,1,0.0,0.0
2.0,-0.3776902708941544,93.11803255448297,0,0,0,0,0.0,0.0
0.0,-0.3776902708941544,93.11803255448297,0,0,0,0,0.0,0.0
-1.0,-0.3776902708941544,93.11803255448297,0,0,0,0,0.0,0.0
0.0,-0.3776902708941544,93.11803255448297,0,0,0,0,0.0,0.0
-1.0,-0.3776902708941544,93.11803255448297,0,0,0,0,0.0,0.0
0.0,-0.3776902708941544,93.11803255448297,0,0,0,0,0.0,0.0
0.0,-0.22192533214577304,40.2411428866006,1,0,0,0,0.2,-12.8
1.0,-0.22192533214577304,40.2411428866006,1,0,0,0,0.2,-12.8
2.5,-0.22192533214577304,40.2411428866006,1,0,0,0,0.2,-12.8
2.0,-0.22192533214577304,40.2411428866006,1,0,0,0,0.2,-12.8
2.0,-0.22192533214577304,40.2411428866006,1,0,0,0,0.2,-12.8
2.0,-0.22192533214577304,40.2411428866006,1,0,0,0,0.2,-12.8
1.5,-0.22192533214577304,40.2411428866006,1,0,0,0,0.2,-12.8
0.0,-0.22192533214577304,40.2411428866006,1,0,0,0,0.2,-12.8
-0.5,-0.22192533214577304,40.2411428866006,1,0,0,0,0.2,-12.8
0.0,-0.22192533214577304,40.2411428866006,1,0,0,0,0.2,-12.8
0.0,-0.22192533214577304,40.2411428866006,1,0,0,0,0.2,-12.8
0.0,-0.22192533214577304,40.2411428866006,1,0,0,0,0.2,-12.8
2.0,-0.1954933762535595,35.6552137435078,0,1,0,0,0.2,-12.5
-1.6666666666666667,-0.1954933762535595,35.6552137435078,0,1,0,0,0.2,-12.5
2.0,-0.1954933762535595,35.6552137435078,0,1,0,0,0.2,-12.5
-1.0,-0.1954933762535595,35.6552137435078,0,1,0,0,0.2,-12.5
1.0,-0.1954933762535595,35.6552137435078,0,1,0,0,0.2,-12.5
2.0,-0.1954933762535595,35.6552137435078,0,1,0,0,0.2,-12.5
0.0,-0.1954933762535595,35.6552137435078,0,1,0,0,0.2,-12.5
0.0,-0.1954933762535595,35.6552137435078,0,1,0,0,0.2,-12.5
0.0,-0.1954933762535595,35.6552137435078,0,1,0,0,0.2,-12.5
-1.0,-0.1954933762535595,35.6552137435078,0,1,0,0,0.2,-12.5
