USER_SCORE,WORLD_SCORE,STRESS,MON,TUE,WED,THU,RAIN,TEMP
2.0,1.7495860600804227,30.191009498279485,1,0,0,0,0.0,-10.9
1.0,1.7495860600804227,30.191009498279485,1,0,0,0,0.0,-10.9
1.0,1.7495860600804227,30.191009498279485,1,0,0,0,0.0,-10.9
3.0,1.7495860600804227,30.191009498279485,1,0,0,0,0.0,-10.9
3.0,1.7495860600804227,30.191009498279485,1,0,0,0,0.0,-10.9
3.0,1.7495860600804227,30.191009498279485,1,0,0,0,0.0,-10.9
2.0,1.7495860600804227,30.191009498279485,1,0,0,0,0.0,-10.9
3.0,1.7495860600804227,30.191009498279485,1,0,0,0,0.0,-10.9
1.0,1.7495860600804227,30.191009498279485,1,0,0,0,0.0,-10.9
3.0,1.7891850080866325,61.41820782802572,0,1,0,0,0.0,-2.7
1.0,1.7891850080866325,61.41820782802572,0,1,0,0,0.0,-2.7
1.0,1.7891850080866325,61.41820782802572,0,1,0,0,0.0,-2.7
1.0,1.7891850080866325,61.41820782802572,0,1,0,0,0.0,-2.7
4.0,1.7891850080866325,61.41820782802572,0,1,0,0,0.0,-2.7
1.0,1.7891850080866325,61.41820782802572,0,1,0,0,0.0,-2.7
1.0,1.7891850080866325,61.41820782802572,0,1,0,0,0.0,-2.7
1.0,1.7891850080866325,61.41820782802572,0,1,0,0,0.0,-2.7
3.0,1.7891850080866325,61.41820782802572,0,1,0,0,0.0,-2.7
2.0,1.7891850080866325,61.41820782802572,0,1,0,0,0.0,-2.7
3.0,1.7891850080866325,61.41820782802572,0,1,0,0,0.0,-2.7
1.0,1.8483883804218066,39.64426559096825,0,0,1,0,0.8,-0.9
1.0,1.8483883804218066,39.64426559096825,0,0,1,0,0.8,-0.9
1.0,1.8483883804218066,39.64426559096825,0,0,1,0,0.8,-0.9
1.0,1.8483883804218066,39.64426559096825,0,0,1,0,0.8,-0.9
3.0,1.8483883804218066,39.64426559096825,0,0,1,0,0.8,-0.9
2.0,1.8483883804218066,39.64426559096825,0,0,1,0,0.8,-0.9
3.0,1.6387894565571104,37.28340185325995,0,0,0,1,0.0,0.0
3.0,1.6387894565571104,37.28340185325995,0,0,0,1,0.0,0.0
1.0,1.6387894565571104,37.28340185325995,0,0,0,1,0.0,0.0
1.0,1.6387894565571104,37.28340185325995,0,0,0,1,0.0,0.0
1.0,1.6387894565571104,37.28340185325995,0,0,0,1,0.0,0.0
1.0,1.6387894565571104,37.28340185325995,0,0,0,1,0.0,0.0
1.0,1.6387894565571104,37.28340185325995,0,0,0,1,0.0,0.0
3.0,1.6387894565571104,37.28340185325995,0,0,0,1,0.0,0.0
1.0,1.6387894565571104,37.28340185325995,0,0,0,1,0.0,0.0
1.0,1.6387894565571104,37.28340185325995,0,0,0,1,0.0,0.0
1.0,1.6387894565571104,37.28340185325995,0,0,0,1,0.0,0.0
3.0,1.6387894565571104,37.28340185325995,0,0,0,1,0.0,0.0
3.0,1.6387894565571104,37.28340185325995,0,0,0,1,0.0,0.0
1.0,1.6387894565571104,37.28340185325995,0,0,0,1,0.0,0.0
2.0,1.6387894565571104,37.28340185325995,0,0,0,1,0.0,0.0
1.0,1.6387894565571104,37.28340185325995,0,0,0,1,0.0,0.0
1.0,1.8105777717428202,93.11803255448297,0,0,0,0,0.0,0.0
2.0,1.8105777717428202,93.11803255448297,0,0,0,0,0.0,0.0
1.0,1.8105777717428202,93.11803255448297,0,0,0,0,0.0,0.0
1.0,1.8105777717428202,93.11803255448297,0,0,0,0,0.0,0.0
2.0,1.8105777717428202,93.11803255448297,0,0,0,0,0.0,0.0
2.0,1.8105777717428202,93.11803255448297,0,0,0,0,0.0,0.0
1.0,1.6804720552215542,40.2411428866006,1,0,0,0,0.2,-12.8
3.0,1.6804720552215542,40.2411428866006,1,0,0,0,0.2,-12.8
3.5,1.6804720552215542,40.2411428866006,1,0,0,0,0.2,-12.8
3.0,1.6804720552215542,40.2411428866006,1,0,0,0,0.2,-12.8
3.0,1.6804720552215542,40.2411428866006,1,0,0,0,0.2,-12.8
4.0,1.6804720552215542,40.2411428866006,1,0,0,0,0.2,-12.8
2.5,1.6804720552215542,40.2411428866006,1,0,0,0,0.2,-12.8
1.0,1.6804720552215542,40.2411428866006,1,0,0,0,0.2,-12.8
1.0,1.6804720552215542,40.2411428866006,1,0,0,0,0.2,-12.8
1.0,1.6804720552215542,40.2411428866006,1,0,0,0,0.2,-12.8
1.0,1.6804720552215542,40.2411428866006,1,0,0,0,0.2,-12.8
1.0,1.6804720552215542,40.2411428866006,1,0,0,0,0.2,-12.8
4.0,1.886096322892163,35.6552137435078,0,1,0,0,0.2,-12.5
1.6666666666666667,1.886096322892163,35.6552137435078,0,1,0,0,0.2,-12.5
1.0,1.886096322892163,35.6552137435078,0,1,0,0,0.2,-12.5
2.5,1.886096322892163,35.6552137435078,0,1,0,0,0.2,-12.5
2.0,1.886096322892163,35.6552137435078,0,1,0,0,0.2,-12.5
3.0,1.886096322892163,35.6552137435078,0,1,0,0,0.2,-12.5
1.0,1.886096322892163,35.6552137435078,0,1,0,0,0.2,-12.5
0.0,1.886096322892163,35.6552137435078,0,1,0,0,0.2,-12.5
1.0,1.886096322892163,35.6552137435078,0,1,0,0,0.2,-12.5
1.0,1.886096322892163,35.6552137435078,0,1,0,0,0.2,-12.5
4.0,1.886096322892163,35.6552137435078,0,1,0,0,0.2,-12.5
4.0,1.886096322892163,35.6552137435078,0,1,0,0,0.2,-12.5
4.0,1.886096322892163,35.6552137435078,0,1,0,0,0.2,-12.5
4.0,1.886096322892163,35.6552137435078,0,1,0,0,0.2,-12.5
1.0,1.886096322892163,35.6552137435078,0,1,0,0,0.2,-12.5
1.0,1.886096322892163,35.6552137435078,0,1,0,0,0.2,-12.5
4.0,1.886096322892163,35.6552137435078,0,1,0,0,0.2,-12.5
2.0,1.886096322892163,35.6552137435078,0,1,0,0,0.2,-12.5
1.0,1.886096322892163,35.6552137435078,0,1,0,0,0.2,-12.5
1.3333333333333333,1.7529740296006702,29.542697150516155,0,0,1,0,0.0,-1.0
1.0,1.7529740296006702,29.542697150516155,0,0,1,0,0.0,-1.0
2.0,1.7529740296006702,29.542697150516155,0,0,1,0,0.0,-1.0
3.0,1.7529740296006702,29.542697150516155,0,0,1,0,0.0,-1.0
