DAY,STRESS,AVE_USER_SCORE
2022-01-03,30.191009498279485,-0.46964912280701765
2022-01-04,61.41820782802572,-0.7376427179058759
2022-01-05,39.64426559096825,-0.8798067632850239
2022-01-06,37.28340185325995,-0.5079300026021337
2022-01-07,93.11803255448297,-0.5900992465951898
2022-01-10,40.2411428866006,-0.5275330122552344
2022-01-11,35.6552137435078,-0.2532776349614396
2022-01-12,29.542697150516155,-0.23332250379034006
2022-01-13,14.44853917234802,-0.5121910768969592
2022-01-14,40.896156869820736,-0.6514349564808283
2022-01-17,135.5970963875607,-0.3379616724738676
2022-01-18,81.89108553606638,-0.36688411896745227
2022-01-19,31.50424007320247,-0.2910781636103525
2022-01-20,21.654111839985575,-0.27127289377289376
2022-01-21,33.283975358601936,-0.38902691511387155
2022-01-24,59.73347466910673,-0.18439064663896879
2022-01-25,65.5994935110126,-0.3363297150610583
2022-01-26,104.44581341100357,-0.5354807473228526
2022-01-27,47.220058510432644,-0.6035945446139621
2022-01-28,51.48187336486538,-0.39478601567209165
2022-01-31,44.80429291302051,-0.35409237116285575
2022-02-01,31.334282731689715,-0.4294733692399761
2022-02-02,61.942733236245545,-0.7586024516209321
2022-02-03,36.120539223899065,-0.6091368694571542
2022-02-04,67.84185429097985,-0.5848893827239873
2022-02-07,52.400280953178765,-0.6118886089035344
2022-02-08,54.00656631397161,-0.6393233743409488
2022-02-09,47.23830757929194,-0.29215821547660115
2022-02-10,43.41426417331459,-0.6064424288233812
2022-02-11,35.26118979804878,-0.6431268007354964
2022-02-14,41.59489258051629,-0.6491741741741742
2022-02-15,29.044424110422334,-0.45201985226223457
2022-02-16,18.58052917144588,-0.12472286341227096
2022-02-17,30.223203123993144,-0.12723165173660225
2022-02-18,75.25721392393643,-0.44056946489936183
2022-02-21,25.295277924555048,-0.4422766884531591
2022-02-22,82.24165839702037,-0.32127285513361464
2022-02-23,29.7270694521413,-0.6203234087849473
2022-02-24,26.43156599177761,-0.3268619031761889
2022-02-25,52.0979147603521,-0.41148822615556485
2022-02-28,53.53878571520627,-0.5261589313848823
2022-03-01,92.00326704728518,-0.42408905342355696
2022-03-02,38.12190532651142,-0.5651703175455188
2022-03-03,60.52539533205315,-0.15184805778026117
2022-03-04,30.801915121209383,-0.18909552291905232
2022-03-07,18.82443003879216,-0.2437396656758848
2022-03-08,38.56568247135695,-0.5710763930659218
2022-03-09,18.894964751975046,-0.3608946884433712
2022-03-10,59.5885646901138,-0.350733941929785
2022-03-11,71.19593906666836,-0.2888892080186335
2022-03-14,88.24066603946231,0.11912688565914374
2022-03-15,21.899456136507165,-0.06778994478880263
2022-03-16,26.705495341074585,-0.29188385454208243
2022-03-17,36.223660639490674,-0.6027374458130552
2022-03-18,40.907994277834334,-0.24940295451216726
2022-03-21,50.65927338806336,-0.3600972634355424
2022-03-22,40.16360367558929,-0.49746887922432154
2022-03-23,96.05641617156186,-0.8026757509475031
2022-03-24,56.959571095330766,-0.4242797776935708
2022-03-25,44.930676736303525,-0.532889522483578
2022-03-28,46.223332001598074,-0.6454779347636491
2022-03-29,65.16170273091643,-0.4474616274897654
2022-03-30,84.57174616266933,-0.43144253196395943
2022-03-31,47.491410307630844,-0.5536639847245909
2022-04-01,21.75681440336113,-0.14609622283182103
2022-04-04,50.413168713672626,-0.6516273247496422
2022-04-05,44.28619205340688,-0.6090806888446012
2022-04-06,38.509182529351875,-0.2889872973318014
2022-04-07,47.072583867101386,-0.5964076576576578
2022-04-08,61.14833812328431,-0.608116801906564
2022-04-11,38.71691389687215,-0.3675062247121071
2022-04-12,36.1861508125733,-0.07667310423552211
2022-04-13,44.89942391710592,-0.3809606943335993
2022-04-14,30.514962689933377,-0.4561661801215116
2022-04-15,28.156508963437425,-0.6143499391358982
2022-04-18,74.07025762633226,-0.5804730772522183
2022-04-19,64.60458417640766,-0.6558722527884738
2022-04-20,37.0698645496372,-0.7967366400396309
2022-04-21,40.948017218048015,-0.7645385454795415
2022-04-22,37.02765713401982,-0.45955142558590845
2022-04-25,121.67357235833127,-0.40061033864193757
2022-04-26,37.93994303609861,-0.5620613566801907
2022-04-27,48.67544108360289,-0.3668598687050206
2022-04-28,81.20281468689186,-0.44482628398791546
2022-04-29,40.04323199257665,-0.34456516697588135
2022-05-02,50.58565205624217,-0.5361789021164022
2022-05-03,48.64230665137319,-0.5990060101710588
2022-05-04,45.18850927274366,-0.6516841795148779
2022-05-05,38.74096890183393,-0.5904259431045147
2022-05-06,32.458946038946806,-0.6230979386083356
2022-05-09,20.137454409547253,-0.3928553046387442
2022-05-10,35.07846068588661,-0.5144096187818161
2022-05-11,21.677902645857223,-0.33187794089968004
2022-05-12,69.89700746201332,-0.48384775397762403
2022-05-13,56.97780083254931,-0.6557913903394953
2022-05-16,27.161760725838676,-0.4486466165413534
2022-05-17,43.318546776126716,-0.5404181600955794
2022-05-18,19.70390370265359,-0.671607178866707
2022-05-19,36.97656360754191,-0.5854745513981184
2022-05-20,59.3170904591909,-0.7065661924282614
2022-05-23,7.487898392896266,-0.7393021120293848
2022-05-24,38.52397767839883,-0.5069924698956958
2022-05-25,37.987885505135786,-0.7710067877741594
2022-05-26,39.24254120861416,-0.6598469161896462
2022-05-27,28.62674468057686,-0.3598651768399667
2022-05-30,34.524937816555614,-0.46746219814940193
2022-05-31,39.83714381451936,-0.6758060234407148
2022-06-01,34.824172283582286,-0.7398796441653585
2022-06-02,36.25624734189939,-0.34919388348707714
2022-06-03,90.71652082017708,-0.4657674482116035
2022-06-06,81.53013158403463,-0.5166035950804162
