DAY,STRESS,AVE_USER_SCORE
2022-01-03,30.191009498279485,-0.5217391304347826
2022-01-04,61.41820782802572,-0.688608776844071
2022-01-05,39.64426559096825,-0.7487468671679198
2022-01-06,37.28340185325995,-0.3024844720496895
2022-01-07,93.11803255448297,-0.47012138188608776
2022-01-10,40.2411428866006,-0.4142250530785562
2022-01-11,35.6552137435078,0.031810035842293895
2022-01-12,29.542697150516155,-0.12900188323917136
2022-01-13,14.44853917234802,-0.35425531914893615
2022-01-14,40.896156869820736,-0.5367697594501717
2022-01-17,135.5970963875607,-0.21394230769230768
2022-01-18,81.89108553606638,-0.2185082872928177
2022-01-19,31.50424007320247,-0.31235632183908046
2022-01-20,21.654111839985575,-0.10452961672473865
2022-01-21,33.283975358601936,-0.1924506387921022
2022-01-24,59.73347466910673,-0.07265406162464984
2022-01-25,65.5994935110126,-0.10616352201257864
2022-01-26,104.44581341100357,-0.40566280566280566
2022-01-27,47.220058510432644,-0.5531914893617021
2022-01-28,51.48187336486538,-0.30506993006993005
2022-01-31,44.80429291302051,-0.20392456676860346
2022-02-01,31.334282731689715,-0.24203431372549022
2022-02-02,61.942733236245545,-0.734375
2022-02-03,36.120539223899065,-0.6115633074935402
2022-02-04,67.84185429097985,-0.5616083009079118
2022-02-07,52.400280953178765,-0.4985074626865672
2022-02-08,54.00656631397161,-0.5626477541371159
2022-02-09,47.23830757929194,-0.13904899135446683
2022-02-10,43.41426417331459,-0.4498552123552123
2022-02-11,35.26118979804878,-0.5408463738852431
2022-02-14,41.59489258051629,-0.49567307692307694
2022-02-15,29.044424110422334,-0.3698950766747376
2022-02-16,18.58052917144588,0.04097222222222222
2022-02-17,30.223203123993144,-0.012337347729789594
2022-02-18,75.25721392393643,-0.25813731114935934
2022-02-21,25.295277924555048,-0.38858024691358034
2022-02-22,82.24165839702037,-0.25351213282247764
2022-02-23,29.7270694521413,-0.5036828963795257
2022-02-24,26.43156599177761,-0.10199112206373617
2022-02-25,52.0979147603521,-0.2640382886456185
2022-02-28,53.53878571520627,-0.3956056676108392
2022-03-01,92.00326704728518,-0.26425964432635723
2022-03-02,38.12190532651142,-0.42375623368440013
2022-03-03,60.52539533205315,-0.03571215821215823
2022-03-04,30.801915121209383,-0.049144362285387926
2022-03-07,18.82443003879216,-0.14077822200011106
2022-03-08,38.56568247135695,-0.4086011087787287
2022-03-09,18.894964751975046,-0.23450705712156092
2022-03-10,59.5885646901138,-0.23238475891362384
2022-03-11,71.19593906666836,-0.1303105376766091
2022-03-14,88.24066603946231,0.262289439585358
2022-03-15,21.899456136507165,0.028866828421509443
2022-03-16,26.705495341074585,-0.17910918868365674
2022-03-17,36.223660639490674,-0.5396486369279682
2022-03-18,40.907994277834334,-0.1416157372039725
2022-03-21,50.65927338806336,-0.182175086616711
2022-03-22,40.16360367558929,-0.42504110463724165
2022-03-23,96.05641617156186,-0.6821529902977868
2022-03-24,56.959571095330766,-0.3886000917915811
2022-03-25,44.930676736303525,-0.39103566319231553
2022-03-28,46.223332001598074,-0.37346482829056565
2022-03-29,65.16170273091643,-0.27451056674825614
2022-03-30,84.57174616266933,-0.280242261769897
2022-03-31,47.491410307630844,-0.42097665847665855
2022-04-01,21.75681440336113,0.023357142857142844
2022-04-04,50.413168713672626,-0.562947658402204
2022-04-05,44.28619205340688,-0.4839730639730641
2022-04-06,38.509182529351875,-0.22436427971692455
2022-04-07,47.072583867101386,-0.476863484087102
2022-04-08,61.14833812328431,-0.5403413958175862
2022-04-11,38.71691389687215,-0.40979886539453325
2022-04-12,36.1861508125733,0.11344928644240564
2022-04-13,44.89942391710592,-0.14014880952380954
2022-04-14,30.514962689933377,-0.3081691297208538
2022-04-15,28.156508963437425,-0.4641548951146475
2022-04-18,74.07025762633226,-0.5376018199487587
2022-04-19,64.60458417640766,-0.4913957929044136
2022-04-20,37.0698645496372,-0.7049684159378036
2022-04-21,40.948017218048015,-0.6425028578409557
2022-04-22,37.02765713401982,-0.48949596979900006
2022-04-25,121.67357235833127,-0.32856115876302205
2022-04-26,37.93994303609861,-0.3962235649546828
2022-04-27,48.67544108360289,-0.1793799158587891
2022-04-28,81.20281468689186,-0.27857829010566765
2022-04-29,40.04323199257665,-0.15074885964147708
2022-05-02,50.58565205624217,-0.35514680836569246
2022-05-03,48.64230665137319,-0.39063360881542697
2022-05-04,45.18850927274366,-0.4996078431372549
2022-05-05,38.74096890183393,-0.327394859813084
2022-05-06,32.458946038946806,-0.34497317393530574
2022-05-09,20.137454409547253,-0.1118675123326286
2022-05-10,35.07846068588661,-0.40125575279421427
2022-05-11,21.677902645857223,-0.13312113966925682
2022-05-12,69.89700746201332,-0.34136532612369047
2022-05-13,56.97780083254931,-0.4518172171375515
2022-05-16,27.161760725838676,-0.19141156462585035
2022-05-17,43.318546776126716,-0.36297145769622835
2022-05-18,19.70390370265359,-0.5020492016435221
2022-05-19,36.97656360754191,-0.5593166175024582
2022-05-20,59.3170904591909,-0.5291137326073806
2022-05-23,7.487898392896266,-0.6204268292682927
2022-05-24,38.52397767839883,-0.32619926199261995
2022-05-25,37.987885505135786,-0.5828213879408417
2022-05-26,39.24254120861416,-0.5047054095329957
2022-05-27,28.62674468057686,-0.03566390239252691
2022-05-30,34.524937816555614,-0.1789115646258503
2022-05-31,39.83714381451936,-0.5353639641250261
2022-06-01,34.824172283582286,-0.4255052264808362
2022-06-02,36.25624734189939,-0.0836267605633803
2022-06-03,90.71652082017708,-0.185910096594895
2022-06-06,81.53013158403463,-0.33276699029126217
