2022-01-01,5178
2022-01-02,10606
2022-01-03,12639
2022-01-04,14190
2022-01-05,15018
2022-01-06,15314
2022-01-07,14702
2022-01-08,11907
2022-01-09,11691
2022-01-10,13395
2022-01-11,16104
2022-01-12,17887
2022-01-13,19877
2022-01-14,18227
2022-01-15,13147
2022-01-16,12497
2022-01-17,15026
2022-01-18,15521
2022-01-19,18925
2022-01-20,20674
2022-01-21,20465
2022-01-22,15615
2022-01-23,16115
2022-01-24,16666
2022-01-25,19991
2022-01-26,17502
2022-01-27,17713
2022-01-28,21438
2022-01-29,15070
2022-01-30,14754
2022-01-31,14532
2022-02-01,17315
2022-02-02,18712
2022-02-03,18507
2022-02-04,19734
2022-02-05,15563
2022-02-06,9764
2022-02-07,14243
2022-02-08,18043
2022-02-09,20059
2022-02-10,20431
2022-02-11,18610
2022-02-12,14198
2022-02-13,12201
2022-02-14,16119
2022-02-15,21286
2022-02-16,17397
2022-02-17,18643
2022-02-18,16819
2022-02-19,16148
2022-02-20,15456
2022-02-21,17696
2022-02-22,18752
2022-02-23,19771
2022-02-24,36972
2022-02-25,39175
2022-02-26,36549
2022-02-27,41299
2022-02-28,39546
2022-03-01,37335
2022-03-02,38214
2022-03-03,42475
2022-03-04,42584
2022-03-05,35296
2022-03-06,30754
2022-03-07,35455
2022-03-08,36375
2022-03-09,31508
2022-03-10,31966
2022-03-11,34199
2022-03-12,25826
2022-03-13,23072
2022-03-14,26638
2022-03-15,32355
2022-03-16,32134
2022-03-17,35723
2022-03-18,25948
2022-03-19,27641
2022-03-20,23087
2022-03-21,22676
2022-03-22,23417
2022-03-23,30554
2022-03-24,27964
2022-03-25,28792
2022-03-26,20630
2022-03-27,22860
2022-03-28,24770
2022-03-29,28414
2022-03-30,23776
2022-03-31,25709
2022-04-01,22676
2022-04-02,18446
2022-04-03,15135
2022-04-04,17767
2022-04-05,21862
2022-04-06,24863
2022-04-07,23386
2022-04-08,21307
2022-04-09,15339
2022-04-10,13225
2022-04-11,17480
2022-04-12,26930
2022-04-13,23899
2022-04-14,24384
2022-04-15,20473
2022-04-16,16765
2022-04-17,14193
2022-04-18,16010
2022-04-19,17644
2022-04-20,25538
2022-04-21,22449
2022-04-22,20038
2022-04-23,15313
2022-04-24,15615
2022-04-25,19321
2022-04-26,23686
2022-04-27,24274
2022-04-28,21905
2022-04-29,18190
2022-04-30,16169
2022-05-01,13623
2022-05-02,17379
2022-05-03,31068
2022-05-04,23601
2022-05-05,19711
2022-05-06,20015
2022-05-07,16991
2022-05-08,14829
2022-05-09,18154
2022-05-10,19322
2022-05-11,21049
2022-05-12,20203
2022-05-13,23012
2022-05-14,20599
2022-05-15,16195
2022-05-16,20575
2022-05-17,17066
2022-05-18,17560
2022-05-19,19110
2022-05-20,21265
2022-05-21,17570
2022-05-22,13096
2022-05-23,16293
2022-05-24,22394
2022-05-25,24589
2022-05-26,26767
2022-05-27,23419
2022-05-28,17653
2022-05-29,15999
2022-05-30,12835
2022-05-31,20955
2022-06-02,18943
2022-06-03,19169
2022-06-04,13226
2022-06-05,13619
2022-06-06,17060
2022-06-07,16037
2022-06-08,17272
2022-06-09,17460
2022-06-10,21731
2022-06-11,17490
2022-06-12,15817
2022-06-13,16761
2022-06-14,20270
2022-06-15,21612
2022-06-16,18878
2022-06-17,21999
2022-06-18,13758
2022-06-19,13089
2022-06-20,21907
2022-06-21,19835
2022-06-22,19396
2022-06-23,20035
2022-06-24,34609
2022-06-25,27207
2022-06-26,21958
2022-06-27,26696
2022-06-28,30272
2022-06-29,25840
2022-06-30,28267
2022-07-01,23527
2022-07-02,17599
2022-07-03,17331
2022-07-04,17540
2022-07-05,19375
2022-07-06,25239
2022-07-07,26984
2022-07-08,23246
2022-07-09,15470
2022-07-10,14959
2022-07-11,19241
2022-07-12,18928
2022-07-13,20111
2022-07-14,22334
2022-07-15,20004
2022-07-16,16965
2022-07-17,15745
2022-07-18,20170
2022-07-19,26396
2022-07-20,21681
2022-07-21,25258
2022-07-22,18661
2022-07-23,13128
2022-07-24,15471
2022-07-25,17502
2022-07-26,20172
2022-07-27,21897
2022-07-28,18716
2022-07-29,21472
2022-07-30,16615
2022-07-31,13828
2022-08-01,15967
2022-08-02,16141
2022-08-03,16175
2022-08-04,17785
2022-08-05,18379
2022-08-06,17669
2022-08-07,13565
2022-08-08,16826
2022-08-09,18705
2022-08-10,22350
2022-08-11,21505
2022-08-12,24819
2022-08-13,19490
2022-08-14,20102
2022-08-15,21129
2022-08-16,21362
2022-08-17,25813
2022-08-18,22142
2022-08-19,19305
2022-08-20,16333
2022-08-21,14551
2022-08-22,20246
2022-08-23,18127
2022-08-24,23887
2022-08-25,22543
2022-08-26,19224
2022-08-27,15495
2022-08-28,13434
2022-08-29,18343
2022-08-30,23294
2022-08-31,18799
2022-09-01,23803
2022-09-02,21198
2022-09-03,14814
2022-09-04,15419
2022-09-05,16016
2022-09-06,16482
2022-09-07,19491
2022-09-08,20558
2022-09-09,14496
2022-09-10,12979
2022-09-11,10279
2022-09-12,14784
2022-09-13,20067
2022-09-14,18335
2022-09-15,22773
2022-09-16,18854
2022-09-17,14941
2022-09-18,12158
2022-09-19,14727
2022-09-20,16592
2022-09-21,22079
2022-09-22,21009
2022-09-23,20232
2022-09-24,15557
2022-09-25,17378
2022-09-26,17013
2022-09-27,18829
2022-09-28,19568
2022-09-29,24751
2022-09-30,20043
2022-10-01,13058
2022-10-02,13605
2022-10-03,15999
2022-10-04,16078
2022-10-05,17422
2022-10-06,17784
2022-10-07,17771
2022-10-08,15315
2022-10-09,13336
2022-10-10,15314
2022-10-11,20452
2022-10-12,18387
2022-10-13,20858
2022-10-14,18547
2022-10-15,13619
2022-10-16,12299
2022-10-17,15948
2022-10-18,16209
2022-10-19,17714
2022-10-20,20072
2022-10-21,17292
2022-10-22,13136
2022-10-23,12363
2022-10-24,16045
2022-10-25,18143
2022-10-26,18391
2022-10-27,22561
2022-10-28,24221
2022-10-29,15783
2022-10-30,13642
2022-10-31,16758
2022-11-01,18362
2022-11-02,20915
2022-11-03,19269
2022-11-04,18148
2022-11-05,13479
2022-11-06,11896
2022-11-07,17283
2022-11-08,19992
2022-11-09,25833
2022-11-10,21283
2022-11-11,19732
2022-11-12,14971
2022-11-13,14636
2022-11-14,18251
2022-11-15,21155
2022-11-16,19983
2022-11-17,21390
2022-11-18,21982
2022-11-19,16702
2022-11-20,13563
2022-11-21,13469
2022-11-22,15457
2022-11-23,17826
2022-11-24,11762
2022-11-25,16265
2022-11-26,11605
2022-11-27,9912
2022-11-28,11083
2022-11-29,14231
2022-11-30,15811
2022-12-01,13379
2022-12-02,17062
2022-12-03,11813
2022-12-04,12633
2022-12-05,15191
2022-12-06,15868
2022-12-07,17691
